Date,PM10 ( µg/m3 ),PM 2.5 ( µg/m3 ),CO ( µg/m3 ),NO2 ( µg/m3 ),NOX ( µg/m3 )
2021-02-26 08:00:56,128.2,12.47,843.73,0.0,0.0
2021-02-26 09:00:56,128.2,15.1,1115.35,0.0,0.0
2021-02-26 10:00:56,128.2,18.58,1513.24,0.0,0.0
2021-02-26 11:00:56,128.2,24.45,1488.6,0.0,0.0
2021-02-26 12:00:56,128.2,21.69,1192.14,0.0,0.0
2021-02-26 13:00:56,151.78,17.84,1030.06,0.0,0.0
2021-02-26 14:00:56,183.65,11.13,898.25,0.0,0.0
2021-02-26 15:00:56,211.98,9.3,912.24,0.0,0.0
2021-02-26 16:00:56,204.77,9.16,996.09,0.0,0.0
2021-02-26 17:00:56,192.83,6.27,1077.37,0.0,0.0
2021-02-26 18:00:56,175.14,7.61,1063.13,0.0,0.0
2021-02-26 19:00:56,107.07,9.24,1012.7,0.0,0.0
2021-02-26 20:00:56,112.47,14.4,1621.84,0.0,0.0
2021-02-26 21:00:56,181.74,20.93,1796.45,0.0,0.0
2021-02-26 22:00:56,205.61,22.84,1664.72,0.0,0.0
2021-02-26 23:00:56,230.32,22.24,1345.94,0.0,0.0
2021-02-27 00:00:56,229.68,19.14,1116.37,0.0,0.0
2021-02-27 01:00:56,259.38,22.66,1499.56,0.0,0.0
2021-02-27 02:00:56,330.81,29.55,1394.56,0.0,0.0
2021-02-27 03:00:56,288.73,21.61,1011.51,0.0,0.0
2021-02-27 04:00:56,208.16,17.46,910.42,0.0,0.0
2021-02-27 05:00:56,200.0,23.39,1094.16,0.0,0.0
2021-02-27 06:00:56,200.0,23.41,1031.42,0.0,0.0
2021-02-27 07:00:56,200.0,23.13,1159.47,0.0,0.0
2021-02-27 08:00:56,200.0,25.99,1475.31,0.0,0.0
2021-02-27 09:00:56,200.0,29.19,1549.13,0.0,0.0
2021-02-27 10:00:56,200.0,29.99,1405.47,0.0,0.0
2021-02-27 11:00:56,200.0,29.06,1257.56,0.0,0.0
2021-02-27 12:00:56,200.0,33.83,1339.69,0.0,0.0
2021-02-27 13:00:56,245.25,32.92,1162.76,0.0,0.0
2021-02-27 14:00:56,350.01,32.56,1171.11,0.0,0.0
2021-02-27 15:00:56,449.66,39.85,1226.22,0.0,0.0
2021-02-27 16:00:56,418.96,34.07,973.48,0.0,0.0
2021-02-27 17:00:56,309.05,18.45,818.05,0.0,0.0
2021-02-27 18:00:56,209.81,11.95,771.57,0.0,0.0
2021-02-27 19:00:56,170.74,18.75,904.55,0.0,0.0
2021-02-27 20:00:56,304.67,33.43,1168.88,0.0,0.0
2021-02-27 21:00:56,363.67,39.62,1237.93,0.0,0.0
2021-02-27 22:00:56,334.64,38.28,1502.07,0.0,0.0
2021-02-27 23:00:56,356.91,37.75,1813.06,0.0,0.0
2021-02-28 00:00:56,389.95,46.91,2142.75,0.0,0.0
2021-02-28 01:00:56,289.96,27.4,1575.03,0.0,0.0
2021-02-28 02:00:56,282.42,31.62,2643.71,0.0,0.0
2021-02-28 03:00:56,523.73,57.92,3349.66,0.0,0.0
2021-02-28 04:00:56,574.81,58.38,2411.54,0.0,0.0
2021-02-28 05:00:56,506.88,45.46,1847.12,0.0,0.0
2021-02-28 06:00:56,392.34,36.7,1851.82,0.0,0.0
2021-02-28 07:00:56,357.77,39.04,1916.6,0.0,0.0
2021-02-28 08:00:56,302.66,24.39,966.38,0.0,0.0
2021-02-28 09:00:56,268.84,20.97,886.54,0.0,0.0
2021-02-28 10:00:56,271.53,19.54,797.16,0.0,0.0
2021-02-28 11:00:56,226.4,17.12,730.93,0.0,0.0
2021-02-28 12:00:56,173.36,13.8,720.46,0.0,0.0
2021-02-28 13:00:56,160.81,11.64,741.91,0.0,0.0
2021-02-28 14:00:56,131.65,9.84,772.03,0.0,0.0
2021-02-28 15:00:56,109.82,9.47,778.74,0.0,0.0
2021-02-28 16:00:56,100.79,5.91,771.21,0.0,0.0
2021-02-28 17:00:56,77.95,2.61,694.2,0.0,0.0
2021-02-28 18:00:56,95.33,0.0,696.81,0.0,0.0
2021-02-28 19:00:56,81.48,3.25,714.62,0.0,0.0
2021-02-28 20:00:56,71.02,4.63,711.79,0.0,0.0
2021-02-28 21:00:56,73.3,5.15,731.18,0.0,0.0
2021-02-28 22:00:56,71.74,4.27,741.5,0.0,0.0
2021-02-28 23:00:56,70.2,5.17,709.3,0.0,0.0
2021-03-01 00:00:56,70.9,3.55,687.81,0.0,0.0
2021-03-01 01:00:56,70.9,0.0,641.88,0.0,0.0
2021-03-01 02:00:56,70.9,3.2,622.1,0.0,0.0
2021-03-01 03:00:56,70.9,0.0,577.29,0.0,0.0
2021-03-01 04:00:56,70.9,3.28,564.91,0.0,0.0
2021-03-01 05:00:56,70.9,2.77,568.49,0.0,0.0
2021-03-01 06:00:56,70.9,2.4,578.1,0.0,0.0
2021-03-01 07:00:56,70.9,3.18,573.59,0.0,0.0
2021-03-01 08:00:56,70.9,2.3,633.36,0.0,0.0
2021-03-01 09:00:56,70.9,6.27,823.63,0.0,0.0
2021-03-01 10:00:56,70.9,6.86,984.31,0.0,0.0
2021-03-01 11:00:56,70.9,6.72,957.81,0.0,0.0
2021-03-01 12:00:56,70.9,5.36,930.85,0.0,0.0
2021-03-01 13:00:56,72.76,5.42,853.75,0.0,0.0
2021-03-01 14:00:56,101.32,3.93,844.1,0.0,0.0
2021-03-01 15:00:56,99.0,3.85,788.41,0.0,0.0
2021-03-01 16:00:56,109.17,3.57,839.21,0.0,0.0
2021-03-01 17:00:56,103.17,3.14,729.38,0.0,0.0
2021-03-01 18:00:56,89.2,5.07,737.45,0.0,0.0
2021-03-01 19:00:56,44.47,6.31,959.88,0.0,0.0
2021-03-01 20:00:56,48.46,9.31,1018.17,0.0,0.0
2021-03-01 21:00:56,50.52,10.51,988.68,0.0,0.0
2021-03-01 22:00:56,96.34,13.06,1147.13,0.0,0.0
2021-03-01 23:00:56,149.68,11.4,934.67,0.0,0.0
2021-03-02 00:00:56,152.55,9.69,806.66,0.0,0.0
2021-03-02 01:00:56,156.52,7.34,730.44,0.0,0.0
2021-03-02 02:00:56,157.13,8.35,663.2,0.0,0.0
2021-03-02 03:00:56,143.61,8.96,659.64,0.0,0.0
2021-03-02 04:00:56,143.6,9.09,692.57,0.0,0.0
2021-03-02 05:00:56,143.6,5.49,622.58,0.0,0.0
2021-03-02 06:00:56,143.6,4.16,605.88,0.0,0.0
2021-03-02 07:00:56,143.6,0.0,601.21,0.0,0.0
2021-03-02 08:00:56,143.6,3.5,698.44,0.0,0.0
2021-03-02 09:00:56,143.6,3.34,831.25,0.0,0.0
