Date,PM10 ( µg/m3 ),PM 2.5 ( µg/m3 ),SO2 ( µg/m3 ),NO2 ( µg/m3 ),NOX ( µg/m3 ),O3 ( µg/m3 )
2018-04-09 08:00:56,18.19,0.0,3.29,4.27,8.66,57.17
2018-04-09 09:00:56,18.8,7.81,3.36,3.95,8.75,51.54
2018-04-09 10:00:56,20.45,5.86,3.35,5.08,10.5,46.33
2018-04-09 11:00:56,24.09,7.58,3.89,10.62,17.84,51.96
2018-04-09 12:00:56,29.85,11.04,3.72,7.89,13.44,81.59
2018-04-09 13:00:56,34.85,13.96,4.04,7.4,12.83,86.9
2018-04-09 14:00:56,39.21,14.59,3.97,6.79,11.93,93.43
2018-04-09 15:00:56,41.52,14.84,3.42,6.62,11.58,98.28
2018-04-09 16:00:56,40.39,14.26,3.9,8.09,13.16,96.91
2018-04-09 17:00:56,38.59,15.13,3.43,9.84,15.1,96.28
2018-04-09 18:00:56,40.5,16.77,3.7,9.23,11.16,94.04
2018-04-09 19:00:56,39.33,17.81,3.57,9.62,11.11,90.3
2018-04-09 20:00:56,38.13,17.46,3.96,9.78,11.13,87.07
2018-04-09 21:00:56,39.6,18.09,3.98,9.71,11.05,84.43
2018-04-09 22:00:56,39.99,17.96,3.83,9.17,10.55,83.17
2018-04-09 23:00:56,40.05,18.07,3.71,7.76,9.01,87.82
2018-04-10 00:00:56,39.8,18.89,3.5,7.99,9.43,86.23
2018-04-10 01:00:56,37.65,18.59,3.41,6.78,8.06,88.88
2018-04-10 02:00:56,36.7,17.48,3.34,8.02,9.31,74.63
2018-04-10 03:00:56,38.33,17.07,3.33,9.54,10.89,58.01
2018-04-10 04:00:56,40.04,18.66,3.22,8.12,9.53,60.3
2018-04-10 05:00:56,39.26,18.54,3.23,6.72,8.2,65.47
2018-04-10 06:00:56,35.57,16.05,3.12,7.28,8.87,54.23
2018-04-10 07:00:56,31.79,13.96,3.16,8.04,9.76,40.15
2018-04-10 08:00:56,29.97,12.32,3.29,7.72,10.05,30.69
2018-04-10 09:00:56,27.15,10.89,3.47,7.78,10.27,44.01
2018-04-10 10:00:56,28.16,13.51,3.18,6.45,8.74,67.64
2018-04-10 11:00:56,31.71,14.42,3.38,9.45,12.49,76.75
2018-04-10 12:00:56,36.5,15.55,3.28,7.53,10.01,85.88
2018-04-10 13:00:56,38.94,15.84,3.08,5.79,7.88,93.85
2018-04-10 14:00:56,39.45,17.34,2.88,5.65,7.76,94.75
2018-04-10 15:00:56,38.74,16.8,3.25,7.03,9.06,90.0
2018-04-10 16:00:56,39.65,16.92,3.14,7.02,9.21,87.85
2018-04-10 17:00:56,36.57,15.68,2.92,8.65,10.79,84.46
2018-04-10 18:00:56,40.93,16.89,3.14,9.35,11.19,80.82
